2026-04-30T14:24:25: PM2 log: ===============================================================================
2026-04-30T14:57:26: PM2 error: Error caught while calling pidusage
2026-04-30T14:57:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:57:56: PM2 error: Error caught while calling pidusage
2026-04-30T14:57:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:58:26: PM2 error: Error caught while calling pidusage
2026-04-30T14:58:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:58:56: PM2 error: Error caught while calling pidusage
2026-04-30T14:58:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:59:26: PM2 error: Error caught while calling pidusage
2026-04-30T14:59:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:59:56: PM2 error: Error caught while calling pidusage
2026-04-30T14:59:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:00:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:00:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:00:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:00:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:01:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:01:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:01:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:01:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:02:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:02:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:02:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:02:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:03:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:03:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:03:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:03:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:04:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:04:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:04:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:04:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:05:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:05:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:05:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:05:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:06:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:06:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:06:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:06:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:07:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:07:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:07:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:07:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:08:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:08:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:08:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:08:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:09:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:09:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:09:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:09:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:10:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:10:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:10:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:10:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:11:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:11:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:11:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:11:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:12:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:12:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:12:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:12:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:13:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:13:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:13:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:13:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:14:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:14:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:14:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:14:56: PM2 error: Error: Error: spawn wmic ENOENT
